id,color,size,body_shape,habitat,nest_type,food_source,aggressiveness,life_span(days),queen_egg_rate(per day),queen_presence_per_hive,worker_population,drone_population(% of worker_population),honeycomb_structure,wax_production,honey_production,communication_method,predators,hibernation,migration,species
790,golden,medium,round,garden,ground,flowers,unidentified,21,1808,2,24171,11.05,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
791,golden,medium,round,garden,cavity,etc,humanfriendly,4,1993,2,56759,14.02,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
792,golden,large,round,meadow,cavity,etc,humanfriendly,4,1921,3,28393,12.83,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
793,golden,medium,round,meadow,cavity,etc,humanfriendly,13,1779,3,23622,15.66,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
794,yellow,small,round,forest,tree,flowers,humanfriendly,28,1642,3,18419,12.59,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
795,golden,large,round,meadow,cavity,flowers,humanfriendly,22,1660,2,27466,15.2,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
796,yellow,medium,round,garden,ground,flowers,unidentified,4,1879,3,39712,9.27,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
797,golden,small,round,garden,cavity,etc,humanfriendly,20,1623,1,13676,9.06,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
798,golden,medium,round,garden,ground,etc,humanfriendly,3,1613,1,49891,11.96,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
799,yellow,medium,round,meadow,cavity,fruits,humanfriendly,6,1898,2,17641,10.1,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
800,golden,medium,round,garden,cavity,flowers,unidentified,21,1734,1,20185,15.26,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
801,golden,large,round,forest,cavity,,humanfriendly,11,2046,2,57987,11.57,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
802,golden,large,round,forest,cavity,etc,unidentified,15,1656,2,49818,12.2,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
803,golden,medium,round,forest,ground,etc,unidentified,26,1968,3,61685,10.28,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
804,golden,small,round,garden,cavity,fruits,humanfriendly,1,1656,2,10206,13.09,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
805,golden,small,round,meadow,ground,etc,humanfriendly,21,1834,3,38409,13.08,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
806,golden,medium,round,forest,tree,etc,unidentified,5,1850,1,65124,13.32,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
807,yellow,medium,round,meadow,cavity,fruits,,26,1920,3,17482,12.5,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
808,golden,medium,round,meadow,tree,flowers,humanfriendly,6,1609,3,38588,12.81,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
809,yellow,medium,round,forest,ground,etc,unidentified,19,1765,3,37540,14.57,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
810,golden,medium,round,garden,cavity,fruits,unidentified,15,1533,3,45639,11.07,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
811,golden,small,round,,tree,flowers,humanfriendly,1,1678,1,22300,12.78,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
812,yellow,medium,round,forest,tree,flowers,unidentified,29,1933,1,25520,12.96,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
813,golden,medium,round,meadow,cavity,fruits,humanfriendly,11,1822,1,64913,15.65,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
814,golden,small,round,garden,tree,flowers,humanfriendly,23,1811,1,26048,13.13,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
815,yellow,small,round,garden,tree,flowers,humanfriendly,29,1692,2,31710,11.72,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
816,golden,large,round,meadow,cavity,fruits,humanfriendly,20,1910,1,26158,10.84,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
817,golden,medium,round,meadow,ground,etc,unidentified,10,1730,2,17998,9.81,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
818,golden,small,round,garden,cavity,flowers,humanfriendly,7,1796,2,15119,12.85,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
819,golden,large,round,garden,tree,flowers,humanfriendly,3,1945,2,37787,15.9,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
820,golden,small,round,forest,tree,fruits,humanfriendly,17,1701,2,43040,11.01,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
821,yellow,large,round,garden,ground,etc,unidentified,23,1890,2,10599,15.93,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
822,golden,large,round,garden,ground,flowers,unidentified,1,2033,3,12188,14.25,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
823,yellow,medium,round,forest,tree,flowers,humanfriendly,26,1919,3,44883,11.51,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
824,golden,medium,round,forest,ground,fruits,unidentified,11,1841,2,24173,12.79,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
825,golden,medium,round,meadow,ground,etc,,11,1602,3,11792,14.55,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
826,yellow,small,round,garden,ground,etc,humanfriendly,2,1815,1,15178,15.11,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
827,yellow,large,round,meadow,ground,etc,,13,1534,1,32721,12.65,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
828,golden,medium,round,meadow,cavity,etc,,23,1810,1,26371,11.01,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
829,golden,medium,round,garden,cavity,fruits,humanfriendly,2,1661,1,60270,10.19,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
830,yellow,medium,round,garden,cavity,fruits,humanfriendly,29,1738,1,24465,9.8,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
831,yellow,small,round,meadow,ground,etc,unidentified,13,1710,2,11957,10.24,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
832,golden,small,round,garden,ground,fruits,unidentified,6,1661,3,37020,9.67,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
833,golden,small,round,meadow,cavity,flowers,unidentified,7,2066,3,18534,14.98,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
834,golden,small,round,forest,ground,etc,humanfriendly,6,1533,2,43095,15.85,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
835,yellow,small,round,garden,tree,fruits,unidentified,2,1641,1,22159,13.44,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
836,golden,medium,round,garden,cavity,flowers,humanfriendly,10,2061,1,55837,12.93,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
837,golden,large,round,forest,ground,flowers,humanfriendly,3,1697,1,63373,11.51,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
838,golden,small,round,meadow,cavity,etc,humanfriendly,22,1762,2,10388,14.53,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
839,golden,medium,round,meadow,tree,etc,humanfriendly,4,2093,1,48305,11.77,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
840,golden,large,round,meadow,tree,fruits,unidentified,15,2009,2,39048,15.51,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
841,golden,large,round,meadow,tree,etc,,12,1639,2,11155,11.25,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
842,golden,small,round,garden,tree,flowers,humanfriendly,3,1631,3,38792,11.18,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
843,golden,small,round,meadow,cavity,etc,humanfriendly,20,1860,2,33685,9.36,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
844,golden,large,round,forest,ground,flowers,unidentified,29,1859,3,37589,12.78,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
845,yellow,medium,round,garden,cavity,fruits,humanfriendly,3,1918,1,34839,15.33,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
846,golden,small,round,forest,tree,flowers,humanfriendly,8,1657,2,30744,10.27,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
847,golden,large,round,garden,ground,etc,humanfriendly,4,2099,1,31079,12.83,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
848,golden,medium,round,forest,cavity,fruits,humanfriendly,25,1958,3,19988,9.31,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
849,yellow,large,round,forest,ground,fruits,humanfriendly,9,1848,3,16073,9.25,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
850,golden,large,round,meadow,tree,flowers,humanfriendly,13,1838,3,26221,12.08,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
851,yellow,medium,round,garden,ground,flowers,humanfriendly,15,2061,3,41682,13.53,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
852,golden,large,round,garden,ground,etc,unidentified,19,2031,2,42529,15.63,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
853,golden,small,round,garden,cavity,fruits,humanfriendly,4,1816,2,30563,10.4,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
854,golden,medium,round,meadow,ground,fruits,humanfriendly,11,1823,3,33856,13.77,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
855,golden,medium,round,garden,ground,flowers,unidentified,2,1702,1,56190,14.03,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
856,golden,small,round,garden,cavity,flowers,unidentified,15,1821,1,23279,10.61,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
857,golden,large,round,garden,tree,etc,humanfriendly,5,1731,1,28875,15.36,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
858,golden,small,round,garden,tree,flowers,humanfriendly,6,1789,2,31499,14.48,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
859,golden,small,round,garden,tree,fruits,humanfriendly,16,2068,2,24425,11.31,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
860,golden,medium,round,meadow,cavity,flowers,humanfriendly,,1860,1,20140,11.39,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
861,golden,small,round,meadow,ground,fruits,humanfriendly,8,1635,1,32798,13.21,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
862,golden,large,round,garden,ground,fruits,unidentified,6,1848,3,21115,15.5,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
863,golden,medium,round,meadow,ground,fruits,unidentified,18,1872,3,30766,12.54,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
864,golden,large,round,meadow,cavity,flowers,humanfriendly,19,1832,3,15521,13.33,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
865,golden,small,round,garden,cavity,fruits,humanfriendly,8,1883,2,47322,9.46,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
866,golden,small,round,garden,ground,,humanfriendly,10,2086,3,39156,15.9,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
867,golden,small,round,garden,tree,fruits,humanfriendly,12,1892,3,29333,14.43,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
868,golden,large,round,forest,cavity,flowers,humanfriendly,,1954,2,31016,11.96,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
869,yellow,small,round,garden,tree,etc,humanfriendly,6,1749,2,64491,10.74,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
870,golden,small,round,forest,ground,flowers,humanfriendly,23,2042,3,38986,11.82,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
871,golden,medium,round,garden,cavity,etc,unidentified,24,1876,2,47949,15.88,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
872,golden,medium,round,garden,ground,fruits,,8,1852,3,57668,11.75,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
873,yellow,small,round,forest,cavity,fruits,humanfriendly,30,1821,1,14706,15.73,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
874,golden,small,round,meadow,cavity,fruits,unidentified,7,1702,1,41745,14.41,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
875,yellow,medium,round,meadow,ground,flowers,unidentified,25,1938,3,40856,9.8,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
876,golden,medium,round,meadow,tree,etc,,20,1572,2,43274,13.52,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
877,golden,small,round,,ground,fruits,humanfriendly,13,1944,1,62197,11.25,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
878,yellow,medium,round,forest,tree,flowers,humanfriendly,7,1548,1,42883,15.15,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
879,golden,medium,round,meadow,cavity,fruits,unidentified,18,1800,1,25246,12.04,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
880,yellow,small,round,garden,cavity,fruits,,7,1960,1,33669,15.77,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
881,golden,medium,round,garden,tree,flowers,humanfriendly,13,1579,2,63891,14.29,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
882,golden,medium,round,garden,cavity,etc,unidentified,2,1999,2,28122,13.06,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
883,golden,small,round,meadow,ground,etc,humanfriendly,10,1744,2,29812,12.1,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
884,golden,small,round,garden,tree,etc,,15,1999,2,61964,11.44,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
885,yellow,small,round,meadow,tree,fruits,humanfriendly,1,1588,3,41222,11.25,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
886,golden,large,round,garden,tree,etc,humanfriendly,20,1838,3,40624,15.38,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
887,golden,large,round,forest,ground,etc,humanfriendly,23,1597,2,51459,12.67,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
888,yellow,small,round,garden,cavity,etc,unidentified,23,1626,3,54455,14.83,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
889,golden,large,round,forest,ground,flowers,unidentified,26,1544,1,25035,13.85,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
890,golden,small,round,,tree,fruits,,23,1841,2,50363,14.94,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
891,yellow,large,round,garden,cavity,etc,unidentified,20,1631,3,11188,14.38,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
892,golden,medium,round,garden,cavity,flowers,humanfriendly,29,1943,2,46683,14.65,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
893,golden,small,round,garden,tree,etc,humanfriendly,27,1971,1,44870,13.65,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
894,golden,medium,round,garden,ground,fruits,,25,1689,3,28905,11.39,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
895,golden,large,round,garden,ground,fruits,humanfriendly,28,2045,1,28511,14.29,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
896,golden,large,round,forest,ground,flowers,humanfriendly,15,1684,1,52755,13.16,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
897,golden,small,round,garden,ground,etc,humanfriendly,11,1701,2,17440,14.09,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
898,golden,large,round,forest,tree,etc,humanfriendly,25,1946,1,27605,13.13,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
899,golden,large,round,garden,ground,flowers,humanfriendly,17,1591,1,56991,13.37,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
900,yellow,large,round,garden,ground,flowers,humanfriendly,19,2003,1,50375,13.32,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
901,golden,small,round,meadow,ground,flowers,humanfriendly,11,1967,1,36658,11.67,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
902,golden,medium,round,meadow,tree,flowers,unidentified,17,1928,1,41763,10.87,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
903,golden,large,round,garden,cavity,etc,humanfriendly,15,1557,1,49307,11.09,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
904,golden,small,round,meadow,tree,fruits,unidentified,25,1990,3,63855,12.08,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
905,golden,small,round,garden,ground,fruits,humanfriendly,1,1917,1,18787,10.67,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
906,golden,medium,round,forest,cavity,,unidentified,16,1612,2,14209,11.09,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
907,golden,medium,round,meadow,tree,,unidentified,8,1542,3,21541,15.39,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
908,golden,large,round,garden,tree,etc,humanfriendly,24,1929,1,34080,15.34,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
909,golden,medium,round,garden,ground,etc,humanfriendly,1,1831,3,32695,13.81,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
910,golden,medium,round,meadow,cavity,flowers,,25,1959,2,25905,13.32,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
911,yellow,large,round,garden,cavity,fruits,humanfriendly,30,1791,3,36063,13.53,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
912,golden,small,round,meadow,tree,fruits,unidentified,13,1769,1,46706,10.81,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
913,yellow,small,round,garden,tree,fruits,unidentified,25,1706,2,28438,10.87,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
914,golden,small,round,forest,cavity,fruits,humanfriendly,3,1967,2,40060,10.01,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
915,golden,small,round,forest,tree,etc,unidentified,26,1922,3,10997,12.75,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
916,yellow,medium,round,garden,tree,etc,humanfriendly,27,1589,2,64742,13.43,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
917,yellow,medium,round,garden,ground,fruits,humanfriendly,21,1557,2,25797,9.69,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
918,yellow,small,round,forest,tree,fruits,humanfriendly,12,2026,3,55519,15.43,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
919,golden,medium,round,garden,ground,etc,humanfriendly,26,2055,3,25831,15.34,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
920,golden,large,round,meadow,cavity,etc,unidentified,8,1656,1,10715,15.95,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
921,golden,large,round,meadow,ground,etc,humanfriendly,28,1942,1,41961,14.56,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
922,golden,large,round,garden,tree,flowers,humanfriendly,18,1924,3,62081,15.85,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
923,golden,large,round,forest,cavity,flowers,unidentified,17,1535,1,61496,11.04,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
924,yellow,medium,round,garden,tree,fruits,unidentified,17,1593,1,31571,10.6,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
925,golden,medium,round,meadow,cavity,etc,humanfriendly,4,1624,1,25812,12,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
926,golden,medium,round,garden,tree,flowers,unidentified,7,1746,1,46207,12.14,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
927,golden,medium,round,garden,ground,flowers,,14,1735,1,56581,14.85,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
928,golden,small,round,garden,cavity,fruits,unidentified,8,1709,3,14690,11.48,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
929,golden,large,round,garden,cavity,flowers,humanfriendly,15,1938,1,36641,13.88,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
930,yellow,large,round,,tree,flowers,humanfriendly,4,1512,1,27402,11.74,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
931,yellow,medium,round,forest,cavity,fruits,humanfriendly,,1956,3,12943,12.17,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
932,golden,medium,round,meadow,ground,flowers,unidentified,12,1741,3,11356,15.24,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
933,golden,large,round,meadow,tree,flowers,humanfriendly,26,2027,1,16330,10.32,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
934,yellow,large,round,meadow,tree,,humanfriendly,15,1845,2,60799,14,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
935,golden,large,round,meadow,tree,fruits,humanfriendly,8,1690,2,52611,13.74,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
936,yellow,medium,round,meadow,cavity,fruits,humanfriendly,17,1661,2,39928,9.75,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
937,golden,large,round,meadow,ground,etc,humanfriendly,2,1952,3,36509,9.49,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
938,golden,medium,round,garden,ground,flowers,humanfriendly,2,1632,3,35934,14.53,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
939,yellow,small,round,meadow,cavity,etc,humanfriendly,3,1950,1,64500,14.91,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
940,golden,medium,round,meadow,tree,etc,unidentified,3,1546,3,54355,13.62,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
941,golden,small,round,garden,tree,fruits,humanfriendly,15,1847,3,13468,14.65,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
942,golden,large,round,garden,cavity,etc,unidentified,14,1828,2,50367,9.36,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
943,golden,small,round,garden,cavity,fruits,unidentified,10,1732,3,36814,10.12,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
944,golden,medium,round,garden,cavity,flowers,unidentified,19,2004,2,28608,10.69,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
945,golden,large,round,meadow,ground,flowers,humanfriendly,28,1852,1,19147,10.43,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
946,golden,medium,round,forest,ground,flowers,unidentified,13,1801,1,51890,10.12,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
947,golden,large,round,garden,tree,etc,humanfriendly,16,1997,2,26231,10.44,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
948,golden,medium,round,meadow,ground,etc,unidentified,1,1599,2,23139,13.15,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
949,yellow,small,round,garden,tree,etc,unidentified,16,2037,2,12144,9.28,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
950,yellow,large,round,garden,ground,etc,humanfriendly,6,1524,2,13162,13.8,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
951,golden,large,round,forest,ground,fruits,unidentified,22,1781,2,14172,10.14,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
952,golden,small,round,meadow,cavity,fruits,,18,1894,3,13386,15.09,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
953,golden,large,round,meadow,tree,flowers,humanfriendly,,1792,2,14363,9.23,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
954,yellow,large,round,meadow,tree,flowers,humanfriendly,9,1628,2,19790,9.68,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
955,golden,small,round,garden,ground,flowers,humanfriendly,30,2056,1,14331,9.14,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
956,yellow,small,round,garden,tree,etc,humanfriendly,6,1870,3,34440,14.06,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
957,golden,large,round,meadow,ground,etc,unidentified,5,1819,2,16584,15.81,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
958,golden,large,round,garden,cavity,etc,unidentified,11,2087,1,21478,12.55,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
959,golden,small,round,garden,ground,etc,unidentified,10,1925,1,55924,13.78,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
960,yellow,medium,round,,ground,fruits,humanfriendly,17,1973,3,13562,10.78,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
961,golden,medium,round,forest,cavity,flowers,humanfriendly,15,1638,1,11431,13.33,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
962,yellow,large,round,garden,cavity,fruits,humanfriendly,27,1866,2,48345,11.09,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
963,yellow,small,round,meadow,cavity,,unidentified,7,1974,3,10126,15.38,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
964,golden,large,round,,ground,flowers,humanfriendly,1,1851,1,13616,13.43,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
965,golden,small,round,,cavity,etc,humanfriendly,30,1850,3,18233,11.32,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
966,golden,medium,round,garden,tree,flowers,humanfriendly,1,2088,3,61819,9.31,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
967,golden,small,round,forest,tree,fruits,humanfriendly,18,2001,1,64464,10.29,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
968,golden,medium,round,garden,tree,etc,humanfriendly,15,1528,2,46101,14.55,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
969,golden,medium,round,meadow,tree,fruits,unidentified,5,1623,1,60706,9.54,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
970,golden,large,round,meadow,ground,fruits,humanfriendly,4,1919,1,15620,9.75,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
971,golden,medium,round,meadow,tree,flowers,unidentified,18,2040,1,54291,9.92,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
972,golden,small,round,meadow,ground,flowers,unidentified,7,1578,2,45222,13.19,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
973,golden,small,round,meadow,tree,fruits,unidentified,25,2060,1,65310,15.6,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
974,golden,large,round,meadow,cavity,fruits,humanfriendly,29,1953,1,57922,9.71,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
